City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,vila franca do campo,37.7167,-25.4333,286.38,83,65,6.62,PT,1675801191
117,zverinogolovskoye,54.4586,64.8542,259.09,96,100,3.62,RU,1675801191
118,olenegorsk,68.15,33.3,272.47,76,16,5.55,RU,1675801192
119,atar,20.5169,-13.0499,292.13,19,86,4.4,MR,1675801192
120,burgos,42.3394,-3.7079,273.38,100,100,6.69,ES,1675800947
121,terme,41.2092,36.9739,275.11,81,100,8.82,TR,1675801193
122,kenai,60.5544,-151.2583,270.45,97,100,4.12,US,1675801194
123,anchorage,61.2181,-149.9003,270.72,90,100,4.02,US,1675801134
124,nouadhibou,20.931,-17.0347,290.69,71,0,11.04,MR,1675801195
125,namibe,-15.1961,12.1522,295.19,74,86,4.69,AO,1675801195
126,luba,3.4568,8.5547,300.33,80,27,3.73,GQ,1675801196
127,gurupi,-11.7292,-49.0686,299.88,78,94,3.41,BR,1675801196
128,sao joao da barra,-21.6403,-41.0511,301.2,84,100,3.14,BR,1675801197
129,kasempa,-13.4584,25.8338,290.93,97,100,2.85,ZM,1675801197
130,broome,42.2506,-75.833,278.96,63,20,6.17,US,1675801022
131,dingle,10.9995,122.6711,295.97,95,100,2.96,PH,1675801198
132,avarua,-21.2078,-159.775,301.18,78,75,5.14,CK,1675800943
133,vidim,56.4088,103.1106,256.71,99,100,1.42,RU,1675801198
134,kodiak,57.79,-152.4072,270.88,59,0,6.69,US,1675801199
135,hasaki,35.7333,140.8333,281.37,83,100,11.6,JP,1675801199
136,maniwaki,46.3834,-75.966,270.44,94,100,6.23,CA,1675801200
137,palasa,18.7667,84.4167,293.04,87,4,2.43,IN,1675801202
138,saint-honore,48.5334,-71.0824,267.76,54,100,5.75,CA,1675801207
139,sosua,19.7667,-70.5167,304.14,74,40,5.14,DO,1675801209
140,adre,13.4667,22.2,295.18,18,20,7.96,TD,1675801210
141,tiksi,71.6872,128.8694,241.86,99,100,1.48,RU,1675801118
142,asekeyevo,53.5742,52.7972,251.98,100,35,1.87,RU,1675801211
143,mbini,1.574,9.6134,299.8,81,94,2.88,GQ,1675801212
144,ihosy,-22.4,46.1167,292.06,95,100,2.58,MG,1675801214
145,mar del plata,-38.0023,-57.5575,302.5,88,4,6.26,AR,1675801126
146,wamba,8.9333,8.6,300.17,14,72,2.1,NG,1675801220
147,qaqortoq,60.7167,-46.0333,249.14,73,0,3.3,GL,1675801140
148,nelson bay,-32.7167,152.15,296.48,84,35,3.13,AU,1675801222
149,viedma,-40.8135,-62.9967,302.44,36,12,7.38,AR,1675801224
150,lagoa,39.05,-27.9833,286.28,61,100,8.07,PT,1675801226
151,lamu,-2.2717,40.902,299.27,87,33,5.55,KE,1675801227
152,hamtic,10.7023,121.9824,296.59,83,90,2.2,PH,1675801228
153,severo-kurilsk,50.6789,156.125,267.04,64,72,5.46,RU,1675801229
154,dolhesti,46.8667,27.9,269.18,91,54,2.77,RO,1675801234
155,cayenne,4.9333,-52.3333,301.17,74,40,6.69,GF,1675800942
156,saint-philippe,-21.3585,55.7679,298.92,85,89,6.08,RE,1675801174
157,ostrovnoy,68.0531,39.5131,275.46,98,100,9.76,RU,1675801220
158,dodge city,37.7528,-100.0171,286.06,35,0,5.66,US,1675801039
159,kaduna,10.5222,7.4383,299.58,13,100,4.7,NG,1675801237
160,chitral,35.8462,71.7858,269.96,52,1,3.53,PK,1675801005
161,mehamn,71.0357,27.8492,276.12,65,40,9.77,NO,1675801237
162,pevek,69.7008,170.3133,243.05,95,100,1.58,RU,1675801239
163,chuguyevka,44.1653,133.8633,253.72,96,53,1.49,RU,1675801241
164,tambura,5.6,27.4667,300.24,15,3,3.29,SS,1675801242
165,puerto gaitan,4.3133,-72.0816,308.56,30,96,6.06,CO,1675801242
166,dandong,40.1292,124.3947,269.85,49,0,3.5,CN,1675801243
167,saskylakh,71.9167,114.0833,238.94,100,99,0.85,RU,1675801243
168,lethem,3.3803,-59.7968,306.04,43,85,4.75,GY,1675801244
169,sibiti,-3.6819,13.3499,294.01,97,95,1.06,CG,1675801244
170,torbay,47.6666,-52.7314,268.47,82,100,10.28,CA,1675801245
171,kahului,20.8947,-156.47,300.35,76,40,8.75,US,1675801063
172,say,13.1007,2.3689,301.73,12,100,4.51,NE,1675801245
173,salinopolis,-0.6136,-47.3561,299.65,82,62,5.36,BR,1675801246
174,kavaratti,10.5669,72.642,299.85,70,93,4.3,IN,1675801210
175,kingsville,27.5159,-97.8561,302.29,67,75,9.77,US,1675800947
176,norman wells,65.282,-126.8329,254.23,95,100,1.49,CA,1675801247
177,saint-francois,46.4154,3.9054,274.84,72,0,1.03,FR,1675801247
178,clearwater,27.9659,-82.8001,300.88,52,0,5.14,US,1675801200
179,meulaboh,4.1363,96.1285,297.27,83,100,1.78,ID,1675801248
180,la ronge,55.1001,-105.2842,275.58,84,65,7.99,CA,1675801248
181,bathsheba,13.2167,-59.5167,300.49,74,75,8.23,BB,1675801249
182,mount isa,-20.7333,139.5,298.02,100,40,2.57,AU,1675801249
183,lavrentiya,65.5833,-171.0,247.24,91,100,1.77,RU,1675801250
184,ponta do sol,32.6667,-17.1,287.6,58,14,2.25,PT,1675801250
185,tomohon,1.3346,124.8392,291.67,97,100,1.6,ID,1675801251
186,olavarria,-36.8927,-60.3225,310.43,15,3,3.27,AR,1675801251
187,yar-sale,66.8333,70.8333,251.73,96,99,5.55,RU,1675801252
188,tasiilaq,65.6145,-37.6368,255.24,48,1,6.38,GL,1675801252
189,sayyan,15.1718,44.3244,287.16,45,7,1.04,YE,1675801252
190,tautira,-17.7333,-149.15,299.42,69,0,3.26,PF,1675801253
191,vardo,70.3705,31.1107,273.14,80,0,13.38,NO,1675801114
192,alofi,-19.0595,-169.9187,296.09,100,100,2.57,NU,1675801248
193,carnarvon,-24.8667,113.6333,297.92,70,0,8.67,AU,1675801108
194,padang,-0.9492,100.3543,297.1,74,98,2.27,ID,1675801254
195,nishihara,26.1842,127.7558,291.75,88,75,4.63,JP,1675801254
196,east london,-33.0153,27.9116,295.92,85,100,5.46,ZA,1675801197
197,hithadhoo,-0.6,73.0833,300.64,69,99,3.66,MV,1675801255
198,shahr-e kord,32.3256,50.8644,271.11,96,50,2.66,IR,1675801256
199,koshurnikovo,54.1667,93.3,256.76,99,100,1.18,RU,1675801257
200,auki,-8.7676,160.7034,298.76,90,91,2.1,SB,1675801258
201,kericho,-0.3677,35.2831,289.03,52,87,1.97,KE,1675801260
202,agua verde,22.9,-106.05,299.2,55,70,5.39,MX,1675801260
203,iranshahr,27.2025,60.6848,292.73,35,59,0.53,IR,1675801261
204,margherita di savoia,41.3742,16.1502,279.78,53,87,4.18,IT,1675801263
205,yeppoon,-23.1333,150.7333,295.03,72,48,7.22,AU,1675801264
206,yellowknife,62.456,-114.3525,254.44,71,75,3.09,CA,1675801266
207,port hawkesbury,45.6169,-61.3485,272.02,71,100,5.36,CA,1675801269
208,bengkulu,-3.8004,102.2655,297.35,85,92,3.18,ID,1675801228
209,kaitangata,-46.2817,169.8464,282.75,90,99,5.41,NZ,1675801103
210,san quintin,30.4833,-115.95,291.01,32,0,3.29,MX,1675801129
211,port blair,11.6667,92.75,298.0,74,5,4.44,IN,1675801273
212,sibu,2.3,111.8167,295.22,98,96,0.83,MY,1675801274
213,rio grande,-32.035,-52.0986,304.21,58,15,7.04,BR,1675801167
214,russell,32.3502,-85.1999,295.68,35,54,3.6,US,1675801276
215,half moon bay,37.4636,-122.4286,290.14,64,0,2.06,US,1675801279
216,merauke,-8.4667,140.3333,298.1,92,100,4.58,ID,1675801281
217,eufaula,31.8913,-85.1455,295.89,43,20,2.57,US,1675801241
218,tecoanapa,16.5167,-98.75,302.08,54,3,5.06,MX,1675801283
219,porto nacional,-10.7081,-48.4172,297.15,70,96,0.83,BR,1675801284
220,grandview,38.8858,-94.533,285.27,38,0,4.63,US,1675801286
221,chuy,-33.6971,-53.4616,300.84,52,0,6.47,UY,1675801288
222,tinqueux,49.25,3.9833,271.64,86,0,1.03,FR,1675801288
223,caravelas,-17.7125,-39.2481,301.02,68,0,4.32,BR,1675801289
224,saint george,37.1041,-113.5841,284.5,37,0,1.79,US,1675801262
225,mullovka,54.2,49.4,251.45,100,42,1.92,RU,1675801292
226,hambantota,6.1241,81.1185,297.83,85,96,5.27,LK,1675801232
227,panambi,-28.2925,-53.5017,308.23,17,4,3.38,BR,1675801292
228,jumla,29.2747,82.1838,274.66,78,5,1.27,NP,1675801293
229,sao joao de pirabas,-0.7747,-47.1772,299.52,82,74,3.84,BR,1675801294
230,aklavik,68.2191,-135.0107,242.57,97,100,3.29,CA,1675801294
231,okha,53.5739,142.9478,247.2,97,100,2.13,RU,1675801295
232,kloulklubed,7.0419,134.2556,298.43,77,100,7.92,PW,1675801296
233,nassau,40.7507,-73.5829,277.98,69,0,4.63,US,1675801297
234,simao,22.7886,100.9748,282.45,47,5,0.65,CN,1675801297
235,narayanpet,16.7333,77.5,297.51,44,89,3.03,IN,1675801298
236,esperance,-33.8667,121.9,293.39,69,100,4.95,AU,1675801003
237,effium,6.6292,8.0593,304.71,22,35,0.9,NG,1675801298
238,udachnyy,66.4167,112.4,233.44,100,98,1.12,RU,1675801299
239,izumo,35.3667,132.7667,279.62,83,29,1.29,JP,1675801300
240,hargeysa,9.56,44.065,290.09,86,23,3.98,SO,1675801300
241,pochutla,15.7432,-96.4661,304.05,39,0,3.72,MX,1675801301
242,biltine,14.5333,20.9167,297.17,16,90,7.87,TD,1675801301
243,trairi,-3.2778,-39.2689,299.91,78,100,4.45,BR,1675801205
